Designator,Val,Package,Mid X,Mid Y,Rot,Layer
"C3","4.7uF","R_0402_1005Metric",128.983209,-113.378680,0.000000,top
"C4","4.7uF","R_0402_1005Metric",128.983209,-114.831082,180.000000,top
"C5","100nF","R_0402_1005Metric",136.378680,-111.378680,180.000000,top
"C6","100nF","R_0402_1005Metric",157.700803,-111.844517,90.000000,top
"C7","100nF","R_0402_1005Metric",157.814302,-121.095439,90.000000,top
"C8","100nF","R_0402_1005Metric",146.781055,-115.598982,-90.000000,top
"C9","100nF","R_0402_1005Metric",118.481849,-94.510000,0.000000,top
"C10","1uF","R_0402_1005Metric",119.250000,-110.750000,0.000000,top
"C11","1uF","R_0402_1005Metric",122.250000,-110.750000,0.000000,top
"D1","LED_Small","LED_0603_1608Metric",127.500000,-117.250000,0.000000,top
"D3","BAT54C","SOT-23",115.500000,-107.500000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",111.333680,-115.985517,-90.000000,top
"Q1","AO3401A","SOT-23",141.946779,-114.281036,0.000000,top
"R1","5.11k","R_0402_1005Metric",116.878680,-124.865121,-90.000000,top
"R2","1M","R_0402_1005Metric",118.378680,-124.868680,90.000000,top
"R3","5.11k","R_0402_1005Metric",115.378680,-124.849013,-90.000000,top
"R4","10k","R_0402_1005Metric",151.738967,-110.665922,-90.000000,top
"R5","10k","R_0402_1005Metric",149.804194,-110.665922,90.000000,top
"R6","10k","R_0402_1005Metric",143.804194,-110.665922,90.000000,top
"R7","10k","R_0402_1005Metric",145.804194,-110.665922,90.000000,top
"R8","10k","R_0402_1005Metric",147.804194,-110.665922,90.000000,top
"R9","2k","R_0402_1005Metric",128.888680,-111.878680,180.000000,top
"R10","470","R_0402_1005Metric",123.368680,-117.378680,180.000000,top
"R11","10k","R_0402_1005Metric",157.700803,-114.344517,90.000000,top
"R12","10k","R_0402_1005Metric",157.814302,-123.595439,90.000000,top
"R13","0R","R_0603_1608Metric",161.425000,-93.000000,0.000000,top
"SW1","RST","SW_TS-1187A-B-A-B",161.584572,-113.065863,-90.000000,top
"SW2","PRG","SW_TS-1187A-B-A-B",161.798829,-122.326763,-90.000000,top
"U1","RFM95W-868S2","HOPERF_RFM9XW_SMD",151.378680,-99.428577,90.000000,top
"U2","MCP73831-2-OT","SOT-23-5",124.880556,-113.679142,90.000000,top
"U3","CH340E","MSOP-10_3x3mm_P0.5mm",136.384279,-114.281036,0.000000,top
"U5","ESP32-WROOM-32D","ESP32-WROOM-32D",130.750000,-98.740000,0.000000,top
"U6","MAX6816","SOT-143",118.378680,-91.878680,-90.000000,top
"U7","MAX6816","SOT-143",149.281055,-115.608982,180.000000,top
"U8","ME6211C33M5GN","SOT-23-5",120.250000,-113.250000,0.000000,top
